,Title,Genre,Rating,Description,Director,Votes,Gross,Keyword
1573,Tutto chiede salvezza,"Comedy, Drama",7.4,"A young man spends a week in a psychiatric ward, where he meets five other patients and must contend with research-happy doctors and cynical nurses.",Federico Cesari,1410,N/A,hot-weather
1574,Kokon,"Drama, Romance",6.6,"Nora from Berlin struggles with growing up and her own identity. Her sister and her best friend are only interested in fashion and social media. Nora tries to do the same, but it does not make her happy. Then she meets Romy.",Leonie Krippendorff,1077,N/A,hot-weather
1575,Sahara,"Action, Drama, War",7.5,"After the fall of Tobruk in 1942, during the Allied retreat in the Libyan desert, an American tank picks-up a motley group of survivors but they face advancing Germans and a lack of water.",Zoltan Korda,9220,N/A,hot-weather
1576,Ice Cold in Alex,"Adventure, Drama, War",7.7,"During World War II in North Africa, a medical field unit must cross the desert in their ambulance in order to reach the British lines in Alexandria.",J. Lee Thompson,6139,N/A,hot-weather
1577,San daikaijû: Chikyû saidai no kessen,"Action, Adventure, Fantasy",6.5,A detective is assigned to protect a princess who prophecies the Earth's end with the arrival of a powerful space monster. Mothra and her fairies must persuade Godzilla and Rodan to set aside their differences or face the invader alone.,Ishirô Honda,7097,N/A,hot-weather
1578,Timbuktu,"Drama, War",7.1,A cattle herder and his family who reside in the dunes of Timbuktu find their quiet lives -- which are typically free of the Jihadists determined to control their faith -- abruptly disturbed.,Abderrahmane Sissako,17823,$1.08M,hot-weather
1579,The Lighthorsemen,"Drama, War",6.8,In 1917 when the British forces are bogged down in front of the Turkish and German lines in Palestine they rely on the Australian light horse regiment to break the deadlock.,Simon Wincer,1895,N/A,hot-weather
1580,Morocco,"Drama, Romance",7.0,"A cabaret singer and a Legionnaire fall in love, but their relationship is complicated by the results of his womanizing and the appearance of a rich man who wants her for himself.",Josef von Sternberg,7137,N/A,hot-weather
1581,Tobruk,"Drama, War",6.4,"A Canadian POW major is rescued by a special British military unit made up of Germans to help lead an attack on a major Nazi fuel depot in Tobruk, Libya.",Arthur Hiller,3397,N/A,hot-weather
1582,Five Graves to Cairo,"Thriller, War",7.3,In the North African campaign a British straggler manages to pass himself off as a waiter at the hotel commandeered as Rommel's headquarters. He has thoughts of assassinating Rommel but his cover may have an even better use.,Billy Wilder,6401,N/A,hot-weather
1583,The Desert Rats,"Action, Adventure, Drama",6.7,Richard Burton plays a Scottish Army officer put in charge of a disparate band of ANZAC troops on the perimeter of Tobruk with the German Army doing their best to dislodge them.,Robert Wise,5139,N/A,hot-weather
1584,Ten Tall Men,"Action, Adventure, War",6.0,"During the Riff War in Morocco, the French Foreign Legion's outpost of Tarfa is threatened by Khalif Hussein's tribes but Sergeant Mike Kincaid devises a plan of survival until the arrival of French reinforcements.",Willis Goldbeck,1054,N/A,hot-weather
1585,Hibike! Euphonium,"Animation, Comedy, Drama",7.9,"Kumiko, a girl with absolutely no ambition, decides to change herself now that she has started her high school life and try to leave her hobby, playing euphonium in orchestra aside but she totally cannot forget it anyway.",Tomoyo Kurosawa,1257,N/A,hot-weather
1586,Merrill's Marauders,"Adventure, Drama, War",6.6,"During WW2, a 3000-strong American unit, known as Merrill's Marauders, battles the Japanese forces in Burma.",Samuel Fuller,2598,N/A,hot-weather
1587,Cent mille dollars au soleil,"Action, Adventure, Comedy",7.1,"A rough trucker assigns his new truck and its mysterious cargo to his newest employee, only to see it hijacked by one of his experienced drivers. Now, his friends are after him to retrieve the goods. Are 100,000 dollars worth dying for?",Henri Verneuil,2550,N/A,hot-weather
1588,Summertime,"Comedy, Drama, Music",6.4,"Over the course of a hot summer day in Los Angeles, the lives of 25 young Angelinos intersect.",Carlos López Estrada,512,N/A,hot-weather
1589,The Way Ahead,"Drama, War",6.9,"World War II drama that follows a group of British draftees, starting with their rigorous basic training, and ending with their deployment in North Africa.",Carol Reed,2120,N/A,hot-weather
1590,Raid on Rommel,"Drama, War",5.5,"In 1942 Libya, a German-speaking British Intelligence officer uses former British POWs, some dressed in German uniforms, to fulfill a secret sabotage mission inside German-captured Tobruk.",Henry Hathaway,2350,N/A,hot-weather
1591,Törst,Drama,6.5,"A needy couple in a bad marriage travel back to Stockholm after a trip to Italy. Meanwhile, a widow resists seductions from two different persons - her psychiatrist and a lesbian friend.",Ingmar Bergman,2663,N/A,hot-weather
1592,Auf Achse,"Adventure, Crime",7.0,The adventures of a group of German truckers on jobs all over the world.,Manfred Krug,328,N/A,hot-weather
1593,Bitter Victory,"Drama, War",6.7,"A Commander receives a citation for an attack on General Erwin Rommel's headquarters, which is actually undeserved, as the Commander is unfit for his job. On top of that, unbeknownst to him, his wife is having an affair with one of his officers.",Nicholas Ray,2186,N/A,hot-weather
1594,Coldwater,"Drama, Thriller",6.4,"A teenage boy is sent to a juvenile reform facility in the wilderness. As we learn about the tragic events that sent him there, his struggle becomes one for survival with the inmates, counselors, and the retired war colonel in charge.",Vincent Grashaw,4350,N/A,hot-weather
1595,Commandos,"Action, Drama, War",5.4,"During World War II, an Italian-American commando outfit disguised as an Italian Army unit is parachuted behind Axis lines in North Africa.",Armando Crispino,986,N/A,hot-weather
1596,El Alamein - La linea del fuoco,"Drama, War",7.1,"War seen through the eyes of Serra, a university student from Palermo who volunteers in 1942 to fight in Africa. He is assigned to the Pavia Division on the southern line in Egypt. Rommel ...                See full summary »",Enzo Monteleone,1949,N/A,hot-weather
1597,Tobruk,"History, War",5.8,Set in the Libyan Desert in WW2 a battalion of Czech soldiers face the siege of Tobruk.,Václav Marhoul,1148,N/A,hot-weather
1598,Station Six Sahara,Drama,6.4,A beautiful blonde (Baker) joins a small group of men running an oil station in the Sahara Desert and starts the emotions soaring.,Seth Holt,486,N/A,hot-weather
1599,Paternity Leave,"Comedy, Drama, Romance",6.0,"Four years into his first stable relationship, a man finds out that he is pregnant with his partner's baby.",Matt Riddlehoover,1710,N/A,hot-weather
1600,La battaglia di El Alamein,"Action, Drama, History",5.4,World war two drama about the 1942 North Africa battle at El Alamein between the Allies and the Axis forces.,Giorgio Ferroni,665,N/A,hot-weather
1601,Beyond Mombasa,"Action, Adventure, Mystery",5.7,"An American travels to East Africa, where he tries to find out how his brother died.",George Marshall,369,N/A,hot-weather
1602,La légion saute sur Kolwezi,"Adventure, Drama, War",5.6,"In 1978, a group of heavily armed rebels from Katanga attacked the mining town of Kolwezi in Zaire and started killing the civilians among whom many Europeans. France sent the legion to evacuate the civilian population.",Raoul Coutard,370,N/A,hot-weather
1603,The Heatwave,"Short, Romance",N/A,"A young couple is stuck at home due to COVID for weeks, and to make things worse they lose their AC during an intense heatwave. This stretches their thinning patience even further, and ...                See full summary »",Seth Mohan,N/A,N/A,hot-weather
1604,Un taxi pour Tobrouk,"Drama, War",7.2,"During World War II, French Commandos join forces with a German officer in order to survive the African desert.",Denys de La Patellière,2004,N/A,hot-weather
1605,Look in Any Window,Drama,5.5,A teenagers parents finally realize how bad their home life is when their son is arrested for prowling.,William Alland,298,N/A,hot-weather
1606,Beau Geste,"War, Action, Adventure",7.3,Three brothers of a well-to-do English family join the French Foreign Legion.,Benedict Taylor,125,N/A,hot-weather
1607,Der Stern von Afrika,"Drama, War",6.3,"Biographic Movie of the German fighter ace, who was killed in a plane crash after over 150 kills in North Africa.",Alfred Weidenmann,334,N/A,hot-weather
1608,The Last Outpost,"Action, Adventure, Romance",6.0,"During WW1, the destinies of British officers Michael Andrews and John Stevenson seem intertwined on the battle front as much as on a more personal level.",Charles Barton,561,N/A,hot-weather
1609,Nine Men,"Drama, War",6.3,The Nine men of the title are a British WWII Army patrol stuck in a desert fort during the African campaign. The Men must defend the fort against the Italian and German troops until they cam be relieved.,Harry Watt,294,N/A,hot-weather
1610,I diavoli della guerra,"War, Drama",5.1,A German Captain and American Captain help each other survive the North African desert during WWII. They meet again a year later during combat operations in France.,Bitto Albertini,177,N/A,hot-weather
1611,Tank Force!,"Drama, War",5.7,"During WW2 in North Africa, an American sergeant serving with the British 8th Army is captured by the Germans but he hatches various plans of escape from the POW camp.",Terence Young,342,N/A,hot-weather
1612,La bandera,"Drama, Romance, War",6.9,"Pierre Gilieth has committed a murder in Paris. He flees to Barcelona, where he runs out of money. So he joins the Spanish Foreign Legion. He meets there two fellow countrymen, Mulot and ...                See full summary »",Julien Duvivier,710,N/A,hot-weather
1613,Desert Victory,"Documentary, War",6.4,"The Allied campaign to drive Germany and Italy from North Africa is analysed, with the major portion of the film examining the battles at El Alamein, including a re-enactment.",Roy Boulting,353,N/A,hot-weather
1614,Zhara,"Comedy, Romance",4.3,"Moscow, hot summer day of 2006. The four high school friends meet after a long separation. They did not suspect that this meeting will drastically change the life of each of them.",Rezo Gigineishvili,1479,N/A,hot-weather
1615,Ani imôto,Drama,7.3,"In Older Brother, Younger Sister, director Mikio Naruse's adaptation of an oft-filmed popular novel by Saisei Murô, the eldest daughter (Machiko Kyô) of a rural family comes home pregnant, ...                See full summary »",Mikio Naruse,451,N/A,hot-weather
1616,Big Mäc,Comedy,3.1,"Bernhard ""Big Mäc"" Maurer, former motorcycle freak and bored piano teacher, is elected after his dismissal as a music teacher of a Munich high school.",Sigi Rothemund,105,N/A,hot-weather
1617,Strategy and Pursuit,"Drama, Romance, Thriller",7.3,Complicated dynamics between lovelorn friends spark a disturbing chain of events.,Matt Riddlehoover,266,N/A,hot-weather
1618,Morenga,"Drama, War",7.1,"Set in 1904, this is an uneven tale of war and intrigue between native South Africans, German colonialists, and British colonialists, a war no one really wins.",Egon Günther,25,N/A,hot-weather
1619,L'intervallo,"Crime, Drama",6.5,"Because of an offense to a Camorra chief's neighborhood, the sixteen-year-old Veronica become hostage inside an abandoned building on the far outskirts of Naples, pending punishment. One to...                See full summary »",Leonardo Di Costanzo,456,N/A,hot-weather
1620,Divisione Folgore,War,6.8,"In the summer of 1942, during the Second World War, a group of young paratroopers from the Folgore Division, after having been subjected to a long and tiring training in Italy, was ...                See full summary »",Duilio Coletti,98,N/A,hot-weather
1621,"Iran, une puissance dévoilée",Documentary,6.8,"Iran is on the rise after a century of political upheaval. For the first time, access has been granted to Iranian national archives and rare footage, looking back over 100 years of Iranian ...                See full summary »",Jean-Michel Vecchiet,54,N/A,hot-weather
1622,Summer Break,"Short, Drama, Romance",N/A,"Her broken leg has kept her in her boyfriend's hot, smelly room for days.",Hans Henschel,N/A,N/A,hot-weather
1623,Die Hitzewelle - Keiner kann entkommen,"Action, Drama",4.6,Very hot weather causes a lack of water in city Ruhr.,Gregor Schnitzler,133,N/A,hot-weather
1624,Pod palyazhchym soltsem,Drama,N/A,Add a Plot,Albert Khachaturov,N/A,N/A,hot-weather
1625,Deutsche Soldaten in Afrika,Documentary,N/A,Newsreel footage showing the exploits of Gen. Erwin Rommel's Afrika Korps during World War II.,Erwin Rommel,N/A,N/A,hot-weather
1626,Land and Live in the Desert,"Short, War",6.4,"Documentary short film depicting the correct methods of surviving the crash landing of a military aircraft in the desert. Methods of conserving water, providing shelter, and signaling for help are depicted.",John Beal,32,N/A,hot-weather
1627,On the Rocks,Short,N/A,"It's a hot summer day, and the radio DJ warns of the heatwave. The listeners know. One old man can't even water his plants. He can only sit down and sip his whiskey under the sun, hoping for cosmic mercy. And his wish will come true.",Hans Starlife,N/A,N/A,hot-weather
1628,El Tiempo del Agua,"Short, Drama, Mystery",N/A,"Rosa asks her neighbor to stay at her house in her absence, leaving for the day in hopes of reuniting with her estranged lover. But things don't go as planned: Rosa is confronted to ...                See full summary »",Shahriar El Kosht,N/A,N/A,hot-weather
1629,Being First is Forever: The incredible story of the first Simpson Desert crossing by motor vehicle,"Documentary, Adventure, Biography",N/A,Add a Plot,Pat Callinan,N/A,N/A,hot-weather
1630,Alfred Hitchcock Presents,"Comedy, Crime, Drama",7.4,Judge Connors shares amontillado and civilized conversation with the young architect about to steal his wife. But the quality of his mercy is strained.,Herschel Daugherty,551,N/A,hot-weather
1631,Alfred Hitchcock Presents,"Comedy, Crime, Drama",6.3,"Two retired insurance salesmen confront an aggressive, hostile woman in hopes of saving her from a disaster.",Robert Stevens,897,N/A,hot-weather
1632,Alfred Hitchcock Presents,"Comedy, Crime, Drama",7.9,A frightened housewife is alone in her apartment when she begins to suspect just about anyone could be the unknown killer who has been strangling women.,Herschel Daugherty,862,N/A,hot-weather
1633,Frasier,Comedy,8.5,"Frasier is battling the flu and in no mood to help anyone, Sherry is staying over with Martin more frequently, and she and Daphne are finding themselves embroiled in minor clashes over Martin's breakfast.",Kelsey Grammer,878,N/A,hot-weather
1634,Leave It to Beaver,"Comedy, Family",8.3,"Beaver is left out when Ward and the other neighborhood dads offer to pay Wally and his friends for doing outdoor chores to help them buy uniforms. But, after Beaver finds out that the main...                See full summary »",Norman Tokar,176,N/A,hot-weather
1635,Lois & Clark: The New Adventures of Superman,"Adventure, Comedy, Drama",7.3,"During an unnaturally extreme winter heat wave, Superman is accused of being the cause.",Robert Butler,327,N/A,hot-weather
1636,Lost in Space,"Adventure, Comedy, Family",6.6,Smith eats some fruit that turns him into a paranoid giant.,Sutton Roley,243,N/A,hot-weather
1637,Mission: Impossible,"Action, Adventure, Crime",7.5,Barney faces the cat o' nine tails and a cruel ex-guard at a former penal colony as the other IM members work to trick the man out of a cheap substance which could be used for nuclear weapons.,Lee H. Katzin,239,N/A,hot-weather
1638,Mission: Impossible,"Action, Adventure, Crime",7.6,"In a rare episode of the series in which the IM Force isn't sent on a government-sanctioned mission, they're forced by a criminal named Egan, who's kidnapped the daughter of a friend of ...                See full summary »",Harry Harris,312,N/A,hot-weather
1639,Forensic Files,"Documentary, Crime",7.2,"A woman is shot to death on a Florida beach. Her husband is also shot, but survives. He claims it was a robbery gone wrong, but investigators look further and learn that he had recently downloaded a song containing violent lyrics.",Michael Jordan,69,N/A,hot-weather
1640,Beanyx,Comedy,N/A,Add a Plot,Patrik Procházka,N/A,N/A,hot-weather
1641,Jeremy Vine,"News, Reality-TV, Talk-Show",N/A,"Today Jeremy and guests discuss - What do you think of new Prime Minister Boris Johnson? Is it OK to beg if you are not homeless? Are you fed up with the warm weather? Plus, the stories of the day from the papers.",Daniel Wright,N/A,N/A,hot-weather
1642,Forensic Files,"Documentary, Crime",7.9,A man is sent to jail based on eye-witness testimony that he killed his mother-in-law. But it was dark and the witness was a young child - is her identification reliable? His family says no...                See full summary »,Peter Thomas,78,N/A,hot-weather
1643,Crime 360,"Documentary, Crime, Mystery",8.4,An unknown killer murders a maintenance man in his apartment and then torches the place. The prime suspect is the victim's nephew.,Rob Dorfmann,5,N/A,hot-weather
1644,Monk,"Comedy, Crime, Drama",7.9,Monk finds himself defending his humanity while assisting the sheriff in a remote Nevada town with a murder investigation after he spots what could be a UFO.,Kevin Hooks,1054,N/A,hot-weather
1645,Toon in with Me,"Animation, Comedy",N/A,"Bill and Toony celebrate laziness and taking it easy on National Lazy Day, and look to crown the show's Mr. or Mrs. Lazybones: Bugs Bunny Gets the Boid (1942), Come on In! The Water's Pink (1968), Droopy Leprechaun (1958), The Bashful Buzzard (1945), Shuteye Popeye (1952).",Mike Schmiedeler,N/A,N/A,hot-weather
1646,Criminal Minds,"Crime, Drama, Mystery",7.9,The BAU is called to California when a sadistic serial killer appears and begins killing people in the dark during the rolling blackouts.,Edward Allen Bernero,1890,N/A,hot-weather
1647,White Collar,"Comedy, Crime, Drama",8.6,Neal gets closer to finding out the truth about Kate's death.,John T. Kretchmer,913,N/A,hot-weather
1648,Storage Hunters,Reality-TV,5.2,"A covered car lures our buyers to bid big, but the reveal could be more than the winner bargained for. Then, as the temperature climbs to the hottest day of the year, Jesse loses out to Dan on a locker full of expensive tools.",Michael Courtney,12,N/A,hot-weather
1649,Helpful Vancouver Vet,Documentary,N/A,Health cat's are generally well adapted to hot weather and can manage it on their own. But there are a few things you need to do to ensure they can maintain their hydration and a few illnesses to look out for.,Uri Burstyn,N/A,N/A,hot-weather
1650,The Amazing Race,"Adventure, Family, Reality-TV",7.4,"Eleven new teams of 2 travel from Los Angeles, California to Bora Bora, French Polynesia. The game changes when it is revealed that the first team to check in at the Pit Stop will receive ...                See full summary »",Bertram van Munster,65,N/A,hot-weather
1651,On the Yorkshire Buses,Documentary,N/A,Hull's bus drivers are facing the hottest summer for seven years and in the control room in East Yorkshire Motor Services the heat is on as they struggle to cope with a breakdown in the ...                See full summary »,Simon Farnaby,N/A,N/A,hot-weather
1652,American Experience,"Documentary, Biography, History",7.2,"Look back at what happened in New York City the night the lights went out in summer 1977, plunging seven million people into darkness.",Callie T. Wiser,189,N/A,hot-weather
1653,The Ben Shapiro Show,"News, Talk-Show",N/A,"Politico reveals how Antifa was treated under Obama. The Left has new hope in the Trump-Russia story. Ben recommends Machiavelli's ""The Prince"".",Ben Shapiro,N/A,N/A,hot-weather
1654,Good Morning Britain,"News, Talk-Show",N/A,"The heatwave continues as it's set to be the hottest day of the year; is it okay for men to wear shorts to work?; plus, Too Many Zooz perform live in the studio.",Ben Shephard,N/A,N/A,hot-weather
1655,ITV Evening News,News,N/A,Add a Plot,Nicolas Wall,N/A,N/A,hot-weather
1656,Tonight with Trevor McDonald,Documentary,N/A,"The heatwave is on its way back and we're starting to feel the strain. Could the hot weather push up our food prices? Plus, it's boom-time for stay-at-home holidays. Becky Mantin reports.",Becky Mantin,N/A,N/A,hot-weather
1657,Star Wars: Episode V - The Empire Strikes Back,"Action, Adventure, Fantasy",8.7,"After the Rebels are overpowered by the Empire, Luke Skywalker begins his Jedi training with Yoda, while his friends are pursued across the galaxy by Darth Vader and bounty hunter Boba Fett.",Irvin Kershner,1318112,$290.48M,cold-weather
1658,Star Wars: Episode VII - The Force Awakens,"Action, Adventure, Sci-Fi",7.8,"As a new threat to the galaxy rises, Rey, a desert scavenger, and Finn, an ex-stormtrooper, must join Han Solo and Chewbacca to search for the one hope of restoring peace.",J.J. Abrams,945873,$936.66M,cold-weather
1659,The Tomorrow War,"Action, Adventure, Drama",6.5,A family man is drafted to fight in a future war where the fate of humanity relies on his ability to confront the past.,Chris McKay,213452,N/A,cold-weather
1660,The Hateful Eight,"Crime, Drama, Mystery",7.8,"In the dead of a Wyoming winter, a bounty hunter and his prisoner find shelter in a cabin currently inhabited by a collection of nefarious characters.",Quentin Tarantino,621830,$54.12M,cold-weather
1661,Frozen,"Animation, Adventure, Comedy",7.4,"When the newly crowned Queen Elsa accidentally uses her power to turn things into ice to curse her home in infinite winter, her sister Anna teams up with a mountain man, his playful reindeer, and a snowman to change the weather condition.",Chris Buck,638298,$400.74M,cold-weather
1662,Cliffhanger,"Action, Adventure, Thriller",6.5,A botched mid-air heist results in suitcases full of cash being searched for by various groups throughout the Rocky Mountains.,Renny Harlin,134141,$84.05M,cold-weather
1663,Groundhog Day,"Comedy, Drama, Fantasy",8.0,"A narcissistic, self-centered weatherman finds himself in a time loop on Groundhog Day, and the day keeps repeating until he gets it right.",Harold Ramis,649139,$70.91M,cold-weather
1664,Northern Exposure,"Comedy, Drama",8.4,"A city doctor is forced to work in the remote Alaskan town of Cicely, where he encounters peculiar locals, including a former NASA astronaut, as he adjusts to small-town life.",Rob Morrow,17762,N/A,cold-weather
1665,Nomadland,Drama,7.3,"A woman in her sixties, after losing everything in the Great Recession, embarks on a journey through the American West, living as a van-dwelling modern-day nomad.",Chloé Zhao,169942,N/A,cold-weather
1666,Rocky IV,"Drama, Sport",6.9,"Rocky Balboa proudly holds the world heavyweight boxing championship, but a new challenger has stepped forward: Drago, a six-foot-four, 261-pound fighter who has the backing of the Soviet Union.",Sylvester Stallone,215754,$127.87M,cold-weather
1667,Cold Mountain,"Adventure, Drama, Romance",7.2,"In the waning days of the American Civil War, a wounded soldier embarks on a perilous journey back home to Cold Mountain, North Carolina to reunite with his sweetheart.",Anthony Minghella,151912,$95.64M,cold-weather
1668,Liu lang di qiu,"Action, Adventure, Sci-Fi",5.9,"As the sun is dying out, people all around the world build giant planet thrusters to move Earth out of its orbit and sail Earth to a new star system. Yet the 2500-year journey comes with unexpected dangers, and in order to save humanity, a group of young people in this age of a wandering Earth fight hard for the survival of humankind.",Frant Gwo,33633,$5.88M,cold-weather
1669,Kampen om Narvik,"Drama, History, War",6.6,"April 1940. The eyes of the world are on Narvik, a small town in northern Norway, source of the iron ore needed for Hitler's war machinery. Through two months of fierce winter warfare, Hitler is dealt his first defeat.",Erik Skjoldbjærg,12846,N/A,cold-weather
1670,Lifeforce,"Action, Horror, Mystery",6.1,"A race of space vampires arrives in London and infects the populace, beginning an apocalyptic descent into chaos.",Tobe Hooper,27356,$11.60M,cold-weather
1671,Frozen,"Adventure, Drama, Mystery",6.2,"Three skiers stranded on a chairlift are forced to make life-or-death choices, which prove more perilous than staying put and freezing to death.",Adam Green,76545,$0.24M,cold-weather
1672,Siberia,"Crime, Romance, Thriller",4.3,"When an American diamond trader's Russian partner goes missing, he journeys to Siberia in search of him, but instead begins a love affair.",Matthew Ross,16455,N/A,cold-weather
1673,The Frozen Ground,"Crime, Drama, Thriller",6.4,An Alaska State Trooper partners with a young woman who escaped the clutches of serial killer Robert Hansen to bring the murderer to justice. Based on actual events.,Scott Walker,65003,N/A,cold-weather
1674,Queen & Slim,"Crime, Drama, Romance",7.1,A couple's first date takes an unexpected turn when a police officer pulls them over.,Melina Matsoukas,33250,N/A,cold-weather
1675,Infinite Storm,"Drama, Thriller",5.2,"When a climber gets caught in a blizzard, she encounters a stranded stranger and must get them both down the mountain before nightfall.",Malgorzata Szumowska,7053,N/A,cold-weather
1676,Balto,"Animation, Adventure, Drama",7.1,"An outcast Husky risks his life with other sled dogs to prevent a deadly epidemic from ravaging Nome, Alaska.",Simon Wells,45720,$11.35M,cold-weather
1677,Black Christmas,"Horror, Mystery, Thriller",7.1,"During their Christmas break, a group of sorority girls are stalked by a stranger.",Bob Clark,44196,$4.05M,cold-weather
1678,Stalingrad,"Drama, War",7.5,"The story follows a group of German soldiers, from their Italian R&R in the summer of 1942 to the frozen steppes of Soviet Russia and ending with the battle for Stalingrad.",Joseph Vilsmaier,36248,$0.08M,cold-weather
1679,Do-ga-ni,Drama,8.0,"Based on real events, this film depicts the story of a school for the hearing-impaired where young deaf students were sexually assaulted by the faculty members over a long period of time.",Hwang Dong-hyuk,18937,N/A,cold-weather
1680,The Dyatlov Pass Incident,"Horror, Mystery, Thriller",5.7,"A group of students go to the location of the infamous Dyatlov pass incident to make a documentary, but things take a turn for the worse as the secret of what happened there is revealed.",Renny Harlin,26177,N/A,cold-weather
1681,Dersu Uzala,"Adventure, Biography, Drama",8.2,The Russian army sends an explorer on an expedition to the snowy Siberian wilderness where he makes friends with a seasoned local hunter.,Akira Kurosawa,31775,N/A,cold-weather
1682,Battle of the Bulge,"Drama, History, War",6.8,A dramatization of Nazi Germany's final Western Front counterattack of World War II.,Ken Annakin,17098,$11.12M,cold-weather
1683,Chun gwong cha sit,"Drama, Romance",7.7,A couple take a trip to Argentina but both men find their lives drifting apart in opposite directions.,Kar-Wai Wong,31483,$0.19M,cold-weather
1684,ATM,"Horror, Thriller",4.7,"On a late night visit to an ATM, three co-workers end up in a desperate fight for their lives when they become trapped by an unknown man.",David Brooks,24608,$0.00M,cold-weather
1685,Wind Chill,"Adventure, Drama, Horror",5.8,"Two college students share a ride home for the holidays, but when they break down on a deserted stretch of road, they are preyed upon by the ghosts of people who have died there.",Gregory Jacobs,24014,$0.02M,cold-weather
1686,Into the White,"Action, Biography, Drama",7.1,"Norway, WWII: A group of British and German soldiers find themselves stranded in the wilderness after an aircraft battle. Finding shelter in the same cabin, they realize the only way to survive the winter is to place the rules of war aside.",Petter Næss,21848,N/A,cold-weather
1687,Ice Station Zebra,"Adventure, Thriller",6.6,USN nuclear sub USS Tigerfish must rush to the North Pole to rescue the staff of Drift Ice Station Zebra weather station.,John Sturges,11076,N/A,cold-weather
1688,Tales from the Crypt,"Drama, Horror, Mystery",6.9,"Five strangers get lost in a crypt and, after meeting the mysterious Crypt Keeper, receive visions of how they will die.",Freddie Francis,12124,$1.70M,cold-weather
1689,Whiteout,"Action, Crime, Mystery",5.5,U.S. Marshal Carrie Stetko tracks a killer in Antarctica as the sun is about to set for six months.,Dominic Sena,39623,$10.28M,cold-weather
1690,Sans toit ni loi,Drama,7.7,"A young woman's body is found frozen in a ditch. Through flashbacks and interviews, we see the events that led to her inevitable death.",Agnès Varda,12355,N/A,cold-weather
1691,Shut In,"Drama, Horror, Mystery",4.8,"A widowed child psychologist lives an isolated existence in rural New England. Caught in a deadly winter storm, she must find a way to rescue a young boy before he disappears forever.",Farren Blackburn,14296,$6.88M,cold-weather
1692,Red Dot,"Drama, Horror, Thriller",5.5,"When Nadja becomes pregnant, she and David make an attempt to rekindle their relationship by traveling to the north of Sweden for a hiking trip, but soon their romantic trip turns into a nightmare.",Alain Darborg,14053,N/A,cold-weather
1693,Frozen Planet,Documentary,9.0,Focuses on life and the environment in both the Arctic and Antarctic.,David Attenborough,31565,N/A,cold-weather
1694,Joyeux Noël,"Drama, History, Music",7.7,"In December 1914, an unofficial Christmas truce on the Western Front allows soldiers from opposing sides of the First World War to gain insight into each other's way of life.",Christian Carion,30750,$1.05M,cold-weather
1695,Hagane no Renkinjutsushi: Kanketsu-hen - Saigo no Rensei,"Action, Adventure, Fantasy",5.4,"The Elric brothers' long and winding journey comes to a close in this epic finale, where they must face off against an unworldly, nationwide threat.",Fumihiko Sori,1078,N/A,cold-weather
1696,Never Cry Wolf,"Adventure, Drama",7.5,"A government researcher, sent to research the ""menace"" of wolves in the north, learns about the true beneficial and positive nature of the species.",Carroll Ballard,8454,$29.60M,cold-weather
1697,Battleground,"Action, Drama, History",7.4,"True tale about a squad of the 101st Airborne Division coping with being trapped by the Germans in the besieged city of Bastogne, Belgium during the Battle of the Bulge in December of 1944.",William A. Wellman,7548,$10.29M,cold-weather
1698,Philosophy of a Knife,"Drama, Horror",4.4,"A graphic docu-drama detailing the history of Unit 731, where thousands of innocent Chinese prisoners of war were fatally experimented on.",Andrey Iskanov,1598,N/A,cold-weather
1699,Shackleton,"Adventure, Biography, Drama",7.6,"The true story of Shackleton's 1914 Endurance expedition to the South Pole, and his epic struggle to lead his twenty-eight man crew to safety after his ship was crushed in the pack ice.",Kenneth Branagh,2977,N/A,cold-weather
1700,Archangel,"Crime, Drama, Mystery",6.4,"A British college professor, working in Russia, investigates certain mysteries surrounding the life and death of Joseph Stalin.",Jon Jones,5923,N/A,cold-weather
1701,Post Impact,"Action, Adventure, Sci-Fi",3.3,"After a meteor strike starts a new ice age, a group of survivors tries to find a device that could give mankind new hope",Christoph Schrewe,2339,N/A,cold-weather
1702,Devil Girl from Mars,"Horror, Sci-Fi",4.9,"An uptight, leather-clad female alien, armed with a ray gun and accompanied by a menacing robot, comes to Earth to collect Earth's men as breeding stock.",David MacDonald,1780,N/A,cold-weather
1703,Viking,"Action, Drama, History",4.6,"Kievan Rus, late 10th century. After the death of his father, the young Viking prince Vladimir of Novgorod is forced into exile across the frozen sea.",Andrey Kravchuk,4894,N/A,cold-weather
1704,Voskhozhdenie,"Drama, War",8.2,"Two Soviet partisans on a mission to gather food contend with the winter cold, the occupying Germans, and their own psyches.",Larisa Shepitko,9309,N/A,cold-weather
1705,The Darker the Lake,"Crime, Mystery, Thriller",3.1,"When strange, supernatural murders suddenly become the talk a peaceful town, two detectives must solve a deadly game, but will the myth of this game reveal secrets too close to home.",Lok Kwan Woo,193,N/A,cold-weather
1706,Pereval Dyatlova,"Drama, History, Mystery",7.7,"In the Ural Mountains, nine students go on a ski hike, but never return. Local investigators must piece together what happened to them when their bodies are found a month later.",Andrey Dobrovolskiy,2849,N/A,cold-weather
1707,A Very Merry Bridesmaid,"Comedy, Drama, Romance",6.6,Leah's 30th birthday is on the same day as her brother's wedding. Her childhood crush is back in town for the wedding and he is determined to make sure her birthday does not go by the wayside.,David I. Strasser,1455,N/A,cold-weather
